"","snippet.title","stock_name","statistics.viewCount","statistics.likeCount","statistics.dislikeCount","statistics.favoriteCount","statistics.commentCount","snippet.publishedAt","snippet.channelTitle"
"54","FeverTree Drinks  (FQVTF) - Stock Valuation - Estimated Investment Return","FQVTF","4136","300","2","0","118","2021-01-06T21:00:11Z","Cameron Stewart, CFA"
"55","United Airlines (UAL) - Stock Valuation – Part 3 of 6 – Airlines Series","(UAL)","868","27","1","0","7","2020-04-27T22:00:20Z","Cameron Stewart, CFA"
"56","Philip Morris International (PM) - Stock Valuation - Estimated Investment Return","PM","4513","311","2","0","75","2021-01-20T21:00:24Z","Cameron Stewart, CFA"
"57","Pepsico (PEP) - Stock Valuation - Estimated Investment Return","PEP","5387","348","5","0","80","2020-07-28T21:00:04Z","Cameron Stewart, CFA"
"58","Barrick Gold Corp (GOLD) - Stock Valuation - Estimated Investment Return","GOLD","22167","1046","19","0","153","2020-11-11T21:00:08Z","Cameron Stewart, CFA"
"59","American Airlines (AAL) - Stock Valuation – Part 4 of 6 – Airlines Series","(AAL)","774","41","0","0","5","2020-04-28T22:00:20Z","Cameron Stewart, CFA"
"60","Bank of America (BAC) - Stock Valuation - Estimated Investment Return","(BAC)","6676","281","3","0","55","2020-05-31T22:00:13Z","Cameron Stewart, CFA"
"61","Verizon Communications (VZ) - Stock Valuation - Estimated Investment Return","VZ","24400","1213","12","0","184","2021-02-17T21:00:12Z","Cameron Stewart, CFA"
"62","Visa (V) - Stock Valuation - Estimated Investment Return","V","5768","278","2","0","76","2020-04-21T04:32:21Z","Cameron Stewart, CFA"
"63","CVS Health (CVS) - Stock Valuation - Estimated Investment Return","CVS","11268","688","6","0","188","2020-09-30T20:00:05Z","Cameron Stewart, CFA"
"64","Costco Wholesale (COST) - Stock Valuation - Estimated Investment Return","COST","7579","471","1","0","132","2020-11-19T00:00:02Z","Cameron Stewart, CFA"
"65","Johnson & Johnson (JNJ) - Stock Valuation - Estimated Investment Return","JNJ","10995","597","1","0","115","2020-08-12T20:00:03Z","Cameron Stewart, CFA"
"66","AbbVie Inc (ABBV) - Stock Valuation - Estimated Investment Return","ABBV","17384","902","6","0","142","2021-02-10T21:00:13Z","Cameron Stewart, CFA"
"67","Home Depot (HD) - Stock Valuation - Estimated Investment Return","HD","5306","305","2","0","51","2020-06-10T20:00:04Z","Cameron Stewart, CFA"
"68","The Procter & Gamble Company (PG) - Stock Valuation - Estimated Investment Return","PG","5437","260","2","0","44","2020-06-05T01:45:12Z","Cameron Stewart, CFA"
"69","Wells Fargo (WFC) - Stock Valuation - Estimated Investment Return","WFC","9376","388","5","0","91","2020-05-22T13:49:25Z","Cameron Stewart, CFA"
"70","Appen Limited (APPEF) - Stock Valuation - Estimated Investment Return","APPEF","6205","359","1","0","86","2021-01-27T21:00:13Z","Cameron Stewart, CFA"
"71","Salesforce.com (CRM) - Stock Valuation - Estimated Investment Return","CRM","5777","267","2","0","55","2020-07-02T20:00:07Z","Cameron Stewart, CFA"
"72","Intel Corp (INTC) - Stock Valuation - Estimated Investment Return","INTC","13722","711","7","0","189","2020-05-10T17:57:07Z","Cameron Stewart, CFA"
